.y.	group1	group2	n1	n2	statistic	p	p.adj	p.adj.signif	Group
value	Control	Chronic	5	5	-2.4053511772118195	0.016156931261181312	0.09694158756708787	ns	Muribaculaceae
value	Control	Binge	5	5	-1.4432107063270918	0.1489611244738834	0.8937667468433004	ns	Muribaculaceae
value	Control	Chronic.Binge	5	5	-1.6035674514745464	0.10880943004054568	0.6528565802432741	ns	Muribaculaceae
value	Chronic	Binge	5	5	0.9621404708847276	0.3359790470465715	1	ns	Muribaculaceae
value	Chronic	Chronic.Binge	5	5	0.8017837257372732	0.42267807417063546	1	ns	Muribaculaceae
value	Binge	Chronic.Binge	5	5	-0.16035674514745454	0.8726000609897289	1	ns	Muribaculaceae
value	Control	Chronic	5	5	-1.4432107063270916	0.14896112447388343	0.8937667468433006	ns	Muribaculum
value	Control	Binge	5	5	0.2672612419124244	0.7892680261342813	1	ns	Muribaculum
value	Control	Chronic.Binge	5	5	2.1380899352993956	0.03250944464571948	0.1950566678743169	ns	Muribaculum
value	Chronic	Binge	5	5	1.7104719482395159	0.08717863640692854	0.5230718184415712	ns	Muribaculum
value	Chronic	Chronic.Binge	5	5	3.581300641626487	3.4188796411008346e-4	0.002051327784660501	**	Muribaculum
value	Binge	Chronic.Binge	5	5	1.870828693386971	0.06136882913940212	0.36821297483641274	ns	Muribaculum
value	Control	Chronic	5	5	0.8552359741197578	0.39242052447658193	1	ns	Clostridia_UCG-014
value	Control	Binge	5	5	1.1224972160321822	0.26165109058823666	1	ns	Clostridia_UCG-014
value	Control	Chronic.Binge	5	5	-0.16035674514745502	0.8726000609897284	1	ns	Clostridia_UCG-014
value	Chronic	Binge	5	5	0.2672612419124244	0.7892680261342813	1	ns	Clostridia_UCG-014
value	Chronic	Chronic.Binge	5	5	-1.015592719267213	0.30982337337237464	1	ns	Clostridia_UCG-014
value	Binge	Chronic.Binge	5	5	-1.2828539611796372	0.19954324489433084	1	ns	Clostridia_UCG-014
value	Control	Chronic	5	5	2.08463768691691	0.03710220085947007	0.22261320515682043	ns	Faecalibaculum
value	Control	Binge	5	5	-0.2138089935299397	0.8306960113063697	1	ns	Faecalibaculum
value	Control	Chronic.Binge	5	5	-0.6948792289723036	0.4871309906878604	1	ns	Faecalibaculum
value	Chronic	Binge	5	5	-2.2984466804468497	0.021536379277757218	0.12921827566654331	ns	Faecalibaculum
value	Chronic	Chronic.Binge	5	5	-2.7795169158892135	0.005443981805202464	0.032663890831214785	*	Faecalibaculum
value	Binge	Chronic.Binge	5	5	-0.4810702354423638	0.6304665815879636	1	ns	Faecalibaculum
