.y.	group1	group2	n1	n2	statistic	p	p.adj	p.adj.signif	Group
value	Control	Chronic	5	5	-0.05345224838248516	0.957371576490613	1	ns	Muribaculaceae
value	Control	Binge	5	5	-0.6948792289723034	0.4871309906878605	1	ns	Muribaculaceae
value	Control	Chronic.Binge	5	5	-0.2138089935299397	0.8306960113063697	1	ns	Muribaculaceae
value	Chronic	Binge	5	5	-0.6414269805898182	0.521245308114815	1	ns	Muribaculaceae
value	Chronic	Chronic.Binge	5	5	-0.16035674514745454	0.8726000609897289	1	ns	Muribaculaceae
value	Binge	Chronic.Binge	5	5	0.4810702354423636	0.6304665815879638	1	ns	Muribaculaceae
value	Control	Chronic	5	5	-1.9242809417694553	0.05431937812711484	0.32591626876268903	ns	Muribaculum
value	Control	Binge	5	5	-1.0155927192672123	0.309823373372375	1	ns	Muribaculum
value	Control	Chronic.Binge	5	5	-0.3741657386773942	0.7082810122906027	1	ns	Muribaculum
value	Chronic	Binge	5	5	0.908688222502243	0.36351472273644436	1	ns	Muribaculum
value	Chronic	Chronic.Binge	5	5	1.550115203092061	0.12111386765685242	0.7266832059411146	ns	Muribaculum
value	Binge	Chronic.Binge	5	5	0.6414269805898182	0.521245308114815	1	ns	Muribaculum
value	Control	Chronic	5	5	0.3207134902949091	0.748427523135563	1	ns	Clostridia_UCG-014
value	Control	Binge	5	5	0.4810702354423641	0.6304665815879635	1	ns	Clostridia_UCG-014
value	Control	Chronic.Binge	5	5	-0.2672612419124244	0.7892680261342813	1	ns	Clostridia_UCG-014
value	Chronic	Binge	5	5	0.16035674514745502	0.8726000609897284	1	ns	Clostridia_UCG-014
value	Chronic	Chronic.Binge	5	5	-0.5879747322073334	0.5565492531131425	1	ns	Clostridia_UCG-014
value	Binge	Chronic.Binge	5	5	-0.7483314773547884	0.4542602425668188	1	ns	Clostridia_UCG-014
value	Control	Chronic	5	5	0.9389508974801544	0.3477559553680565	1	ns	Faecalibaculum
value	Control	Binge	5	5	-0.3219260219931959	0.7475087390360422	1	ns	Faecalibaculum
value	Control	Chronic.Binge	5	5	2.3876179964495368	0.016957958048724735	0.10174774829234841	ns	Faecalibaculum
value	Chronic	Binge	5	5	-1.2608769194733502	0.20735319501388588	1	ns	Faecalibaculum
value	Chronic	Chronic.Binge	5	5	1.448667098969382	0.14743057282000518	0.8845834369200312	ns	Faecalibaculum
value	Binge	Chronic.Binge	5	5	2.7095440184427324	0.006737576414464677	0.040425458486788066	*	Faecalibaculum
value	Control	Chronic	5	5	1.9777331901519404	0.0479588139310902	0.2877528835865412	ns	Bacteroides
value	Control	Binge	5	5	0.10690449676496962	0.9148647457355493	1	ns	Bacteroides
value	Control	Chronic.Binge	5	5	1.4432107063270916	0.14896112447388343	0.8937667468433006	ns	Bacteroides
value	Chronic	Binge	5	5	-1.8708286933869707	0.06136882913940219	0.36821297483641313	ns	Bacteroides
value	Chronic	Chronic.Binge	5	5	-0.5345224838248488	0.5929800980174267	1	ns	Bacteroides
value	Binge	Chronic.Binge	5	5	1.3363062095621219	0.1814492077214203	1	ns	Bacteroides
value	Control	Chronic	5	5	0.6423937135884182	0.5206175803846258	1	ns	Butyricimonas
value	Control	Binge	5	5	-0.8029921419855227	0.4219792764454155	1	ns	Butyricimonas
value	Control	Chronic.Binge	5	5	-0.37472966625991067	0.707861526799777	1	ns	Butyricimonas
value	Chronic	Binge	5	5	-1.445385855573941	0.14834953414588098	0.8900972048752859	ns	Butyricimonas
value	Chronic	Chronic.Binge	5	5	-1.0171233798483288	0.3090947394209207	1	ns	Butyricimonas
value	Binge	Chronic.Binge	5	5	0.428262475725612	0.6684600352519726	1	ns	Butyricimonas
value	Control	Chronic	5	5	-1.0690449676496976	0.28504940740261264	1	ns	Lactobacillus
value	Control	Binge	5	5	0.6948792289723034	0.4871309906878605	1	ns	Lactobacillus
value	Control	Chronic.Binge	5	5	-1.6570196998570312	0.09751549231682222	0.5850929539009333	ns	Lactobacillus
value	Chronic	Binge	5	5	1.763924196622001	0.07774474244880264	0.46646845469281584	ns	Lactobacillus
value	Chronic	Chronic.Binge	5	5	-0.5879747322073337	0.5565492531131424	1	ns	Lactobacillus
value	Binge	Chronic.Binge	5	5	-2.3518989288293346	0.018677849297492437	0.11206709578495462	ns	Lactobacillus
value	Control	Chronic	5	5	1.9784771184047507	0.047874907412130026	0.28724944447278017	ns	Alistipes
value	Control	Binge	5	5	1.4437535728899533	0.14880830583276713	0.8928498349966028	ns	Alistipes
value	Control	Chronic.Binge	5	5	2.8875071457799066	0.00388307785596891	0.02329846713581346	*	Alistipes
value	Chronic	Binge	5	5	-0.5347235455147975	0.592841037455107	1	ns	Alistipes
value	Chronic	Chronic.Binge	5	5	0.9090300273751558	0.363334275896434	1	ns	Alistipes
value	Binge	Chronic.Binge	5	5	1.4437535728899533	0.14880830583276713	0.8928498349966028	ns	Alistipes
value	Control	Chronic	5	5	1.3363062095621216	0.18144920772142042	1	ns	Lachnospiraceae_UCG-001
value	Control	Binge	5	5	-0.2672612419124244	0.7892680261342813	1	ns	Lachnospiraceae_UCG-001
value	Control	Chronic.Binge	5	5	2.4588034255943043	0.01394009226052579	0.08364055356315474	ns	Lachnospiraceae_UCG-001
