Group	Binge	Binge	Binge	Binge	Binge	Control	Control	Control	Control	Control	Chronic	Chronic	Chronic	Chronic	Chronic	Chronic plus binge	Chronic plus binge	Chronic plus binge	Chronic plus binge	Chronic plus binge
ABC transporters	2,7726500788608	3,10201897550503	2,95954767259553	3,36277367824282	3,01364595789427	2,65008277871828	2,79110485762175	3,12575790717331	2,98412969068495	2,88423655444823	2,60738311112978	2,67184349468873	3,1119757905342	2,88293592501408	2,64559189702593	2,62561883199114	2,96202215466107	1,8543720501009	2,76292830824741	2,54765093824878
Adipocytokine signaling pathway	0,0552947334169629	0,0439925414029846	0,0526694672260447	0,0412642149254941	0,0468548047072454	0,071453037419215	0,0670209171041005	0,0461331824872948	0,056121483850057	0,0496883429627502	0,0672685351372448	0,062164378241394	0,0452862728807241	0,0535272055172909	0,0732679870247776	0,0688264965656404	0,058427660056014	0,0416629997315599	0,0602098476617573	0,0712409386612706
African trypanosomiasis	0,000583665037105241	8,89989804446828E-05	9,15344983492667E-05	0	0,000193787772867472	0,000166455620059626	0	0	0,000293226136704302	0,000145321919508317	0,000213755762472209	0,000121472800005576	0	0,000172608384345277	0,000130514239506898	0	0	0	0	0,000121979320531079
Alanine, aspartate and glutamate metabolism	1,13322986746721	1,05998476447973	1,10252559593339	1,05696225571171	1,08536710938164	1,15964100582362	1,153345642867	1,08982720810408	1,08643511248911	1,11697477497458	1,15067227477898	1,12373575843371	1,07732811338032	1,1171221615224	1,16955745014226	1,14199975834225	1,12250796248437	0,746568106861381	1,13360351434626	1,16719588309915
alpha-Linolenic acid metabolism	0,0129008616063851	0,00697313653499048	0,00841703356687617	0,00771041900644066	0,00679012325562091	0,0133793545477522	0,0127548395421599	0,00875043484352481	0,00853246214789179	0,00983238525728252	0,0108515331039194	0,0077459434406088	0,0067314722312738	0,00700085742390514	0,0115268847247013	0,00856932292578275	0,0108401337637501	0,00412803838162273	0,00629843396926311	0,00871995169036959
Alzheimer's disease	0,0541312466407854	0,053639419845412	0,0533323869089902	0,0515678329869852	0,0527785795082286	0,052498553493335	0,0527972640090981	0,0514675766978798	0,0504464734362433	0,0525514402881313	0,0560870921961514	0,0542080568477687	0,0536492309648306	0,052888571344449	0,0559370544218027	0,0553779557911613	0,0530308739749218	0,0357751459876577	0,0534254356388662	0,0497240698362775
Amino acid metabolism	0,118359869742163	0,108830424005723	0,118552391555198	0,145337156882981	0,140756744644466	0,125895922342083	0,114685461104906	0,132228093145984	0,118907890539273	0,116642622723909	0,104107929204672	0,0914712121970868	0,122460802741545	0,112043638210978	0,0971927472338996	0,0842991670153429	0,113285074161267	0,0573077984181828	0,0925064339895074	0,082758030081295
Amino acid related enzymes	1,5992548788156	1,58521958002734	1,58405037985372	1,54044016710812	1,58653204441519	1,62387812435873	1,60728458450392	1,58132932054678	1,57625420068073	1,60032359173563	1,62288375947118	1,60918987349364	1,55485793609002	1,57891951397407	1,60340061061578	1,6258550210373	1,56961809575664	1,04333759817156	1,57334482680937	1,58656354367982
Amino sugar and nucleotide sugar metabolism	1,46663230062225	1,34099439603334	1,36606240926633	1,37084998188712	1,40316058955073	1,42609504024606	1,32394854959313	1,3804879146005	1,39859639400117	1,35946145303795	1,4151696221345	1,41614783728728	1,40566325241665	1,33728330125784	1,4087464161094	1,43218791707408	1,47394853687433	0,954484629188527	1,47106824929978	1,52914834459552
Aminoacyl-tRNA biosynthesis	1,23688768816661	1,25057802048279	1,23616641183403	1,20558415029336	1,25249260980101	1,24932067197155	1,23743106127591	1,24137258438942	1,24147463390024	1,25205111589096	1,25280235821165	1,26030490672447	1,22086163509573	1,2337251066263	1,22189023974395	1,25219865378839	1,202945948462	0,818817426052655	1,20474016063761	1,22279777880022
