Group;Control;Control;Control;Control;Control;Chronic;Chronic;Chronic;Chronic;Chronic;Binge;Binge;Binge;Binge;Binge;Chronic+Binge;Chronic+Binge;Chronic+Binge;Chronic+Binge;Chronic+Binge;;Median
Muribaculaceae;0.3728671093552996;0.25512057626057;0.2177768394384039;0.13568080759524098;0.23511701108526076;0.06286905175408128;0.028824540526246202;0.30210416071598595;0.07497313357355079;0.08965334041705404;0.02306714294363383;0.000095;0.0984048062979076;0.09352554632978452;0.13620242056382315;0.14405946676495882;0.09565594715780339;0.08132986132138317;0.1672637602940492;0.09325277694386071;;0.14312668288537542
Muribaculum;0.12658653442044213;0.13636078922643283;0.06861606671592949;0.13766374233866124;0.12296428082660465;0.04723862452240361;0.08349861166203887;0.06788536608588024;0.011884442758707883;0.03347058042236685;0.09644608585094143;0.00028502208921191396;0.20421586906981562;0.20289338291477765;0.17137738125708432;0.19087111438751686;0.2885588930138373;0.22321807061103377;0.2669706416042433;0.43027619333533473;;0.10535395161523811
Clostridia_UCG-014;0.030343784147264016;0.013466958972752897;0.05204264752454344;0.06808075952409567;0.04338305734227454;0.09663077457450504;0.04032791220415179;0.049414453013424744;0.07958783741070864;0.02908752822419976;0.030574559544711503;0.10524440644149922;0.05785166770250673;0.04401202180225154;0.05656513949321729;0.014559528197567265;0.028494286678559376;0.07073215042693637;0.04485181221793142;0.04161663164214951;;0.07855098951507371
Faecalibaculum;0.06136000672438429;0.034575634199812084;0.059959885991766076;0.08670832832592237;0.08656083207882855;0.11608197290725947;0.111992595530874;0.10577930115205181;0.08357039003729692;0.21994952848983929;0.013803959556820244;0.09419980048453756;0.07157654858089911;0.015434771534817381;0.08479286262751835;0.0003071630421427693;0.08008292753483438;0.07539514322049296;0.030056297399153217;0.06567096967877516;;0.07025928342719297
Bacteroides;0.1065814911322182;0.00419668023802067;0.04687005172595799;0.07475063093378201;0.008485014369782403;0.10587009378256339;0.0;0.06103018185280397;0.0745306277261521;0.04954177181564617;0.05134104256220863;0.05942710560068405;0.0509633312616532;0.06382761958127452;0.04409667629529415;0.0673915714461236;0.05819391543319994;0.05650093865439352;0.06495137951891314;0.048634043830681484;;0.061332020080791555
Butyricimonas;0.027654030427838944;0.0;0.0;0.04957336858550656;0.027165731490351723;0.07863841611670719;0.09143197143990481;0.0;0.07016878437322208;0.08314517200159384;0.0;0.032920051303976065;0.05686761963952766;0.0;0.0125781564225383;0.06825162796412335;0.04416373366761487;0.040816326530612256;0.039919973945005356;0.03246022215550886;;0.05575859295646043
Lactobacillus;0.0;0.0029439398684622613;0.10250184735564236;0.03112606657853624;0.0332557821267278;0.028065300451545674;0.11113314822160518;0.02494525373702752;0.10051204248056135;0.06508168415460219;0.14633408003874793;0.06106598261365257;0.0254816656308266;0.03188833987061281;0.02928809097224761;0.07507064749969283;0.0558314449640808;0.011082177678192941;0.04903922207230261;0.03219753827679376;;0.05033181894407841
Alistipes;0.03362192149281331;0.037832759160663955;0.06734930856117385;0.03857709409926692;0.04700971671000412;0.03265022577283779;0.060491868306227686;0.08911739502999144;0.07269738921550034;0.08726258467259927;0.0681116425500999;0.05614935157474705;0.028537393826393205;0.0340278131526667;0.03162821309737101;0.014129499938567389;0.02343184995901837;0.03342820807848362;0.02219327222816731;0.019401080756529573;;0.04714061772017624
Lachnospiraceae_UCG-001;0.0;0.02856248042593173;0.030930011611949755;0.01766614589592597;0.04673600656904339;0.06495310871830497;0.021155626074309136;0.06560030467485481;0.0;0.03373621994952848;0.0;0.03605529428530711;0.04868448311580691;0.05409811013193419;0.016271161651248672;0.015542449932424127;0.0;0.041664143402167994;0.009677569441213419;0.011145301711197838;;0.03955145408181015
Lachnoclostridium;0.0;0.04967115565299092;0.0337802174601499;0.019108280254777073;0.03175037635144383;0.052101424105592216;0.0;0.0;0.03141791516530754;0.0;0.05121995519767511;0.028858486532706284;0.029883985912575094;0.055422545973205645;0.017806866795860906;0.0017201130359995082;0.022081866833807435;0.026645673106037673;0.0;0.0;;0.03926301420887905
