Grupos;Control;Control;Control;Control;Control;Chronic;Chronic;Chronic;Chronic;Chronic;Binge;Binge;Binge;Binge;Binge;Chronic+Binge;Chronic+Binge;Chronic+Binge;Chronic+Binge;Chronic+Binge;Median
Muribaculaceae;0.08481571082965704;0.1745289322464252;0.06657473800330943;0.06531959135702016;0.12317587661664017;0.17786963003116954;0.10885964912280703;0.04372461988856361;0.07991864569001617;0.1017799193627692;0.04764851485148515;0.06260421403668334;0.11246457215220407;0.09806040612024344;0.07366792249730894;0.12774693939624363;0.1914681550882089;0.04751461988304094;0.04375408153745686;0.09137017975684344;0.14312668288537542
Muribaculum;0.1487832645510175;0.03975678203928905;0.07534473248758963;0.07535485037519211;0.04467805519053877;0.021954194335275786;0.08982456140350878;0.03017282085182737;0.023748280193814683;0.04248205329924279;0.14005775577557758;0.025087160830680615;0.059337876138213834;0.03145441101188783;0.04292249730893435;0.034446049730058555;0.1252865543705771;0.09876543209876544;0.0688497061293031;0.03863653315432237;0.10535395161523811
Clostridia_UCG-014;0.0675964138323609;0.03487905920085527;0.06514065085493657;0.13868547147635837;0.07344906286741823;0.09737091746849166;0.10074561403508774;0.05312116347152705;0.03672907818388467;0.07808044055462679;0.04806105610561056;0.09731696225557072;0.08689621901947778;0.07269211080143335;0.073735199138859;0.13056041365675614;0.06578291637595933;0.06700779727095517;0.05961376994122586;0.041470873424330576;0.07855098951507371
Faecalibaculum;0.04859826383947631;0.04269677936656421;0.04644236072807501;0.0;0.06936855937478388;0.05454668654289199;0.049166666666666664;0.11053923883275096;0.010408566130286536;0.14937555315173565;0.1630569306930693;0.0;0.029729240788759572;0.0;0.0;0.15588168200136873;0.19067078640486396;0.13669590643274857;0.14516279503685045;0.11128514954874319;0.07025928342719297
Bacteroides;0.06211754660594849;0.03053588133101697;0.023000551571980145;0.05157761504384775;0.003458053807317242;0.06423634638839952;0.07407894736842106;0.04693549910284257;0.061972842017108336;0.08378404956239552;0.01701732673267327;0.0012126724268606943;0.057770005427244774;0.038166202150048345;0.06976587728740581;0.04775302258383393;0.04883883185487891;0.07342430149447694;0.043007743259632435;0.10024614007607967;0.061332020080791555
Butyricimonas;0.031023196243062476;0.04844313777896565;0.045725317153888584;0.05984992315342193;0.054498928003319735;0.06864073722726657;0.04890350877192983;0.023326093115497215;0.053897230364299824;0.10610679516176615;0.05610561056105611;0.0;0.046915515889766626;0.034355269893635174;0.0314854682454252;0.04144171545890046;0.0;0.0;0.06791678328202258;0.07630342358469455;0.05575859295646043
Lactobacillus;0.04817133912053508;0.02619270346117867;0.05019305019305019;0.0543802549498237;0.06514973372985684;0.022428513348692235;0.047324561403508776;0.028756256492586646;0.0668780283543698;0.0;0.15655940594059406;0.07071396089131425;0.03642284267020443;0.027415960411808202;0.12103067814854684;0.012546574404988214;0.026014153294129375;0.05937296946068877;0.004104860528034332;0.023122249571119562;0.05033181894407841
Alistipes;0.023053934822826243;0.0;0.03270821842250414;0.018804809691709612;0.0;0.04614446401951485;0.035175438596491235;0.019029181225800357;0.06328886761978825;0.031468187629068736;0.024855610561056105;0.032893739578596336;0.04178978471929084;0.009385131676241396;0.04285522066738429;0.06463386814690898;0.03259244493172531;0.04532163742690059;0.04002239014833473;0.07235026478705153;0.04714061772017624
Lachnospiraceae_UCG-001;0.02191546890564964;0.03414405986903648;0.04627688913403199;0.02540457463158846;0.02178573898609863;0.03808104079143516;0.042675438596491234;0.04136367928982907;0.03888257462463361;0.046415576752876386;0.020523927392739272;0.02099439139002577;0.04751854308629319;0.028041635856890963;0.0219994617868676;0.050034217930195427;0.05292534635702183;0.05344379467186485;0.03246571508536244;0.055791750578056236;0.03955145408181015
Lachnoclostridium;0.05407713106588872;0.055659494855004675;0.012961941533370104;0.07436036524726516;0.09039352652327272;0.036048245019650364;0.016271929824561403;0.07030881103031449;0.03858347789675182;0.0294030878159111;0.02196782178217822;0.04812793694103381;0.04848338660073569;0.02024913258631477;0.03256189451022605;0.010037259523990571;0.036878301604704476;0.042803768680961675;0.057841216531392854;0.022003431043484744;0.03926301420887905
