Group;Control;Control;Control;Control;Control;Chronic;Chronic;Chronic;Chronic;Chronic
Muribaculaceae;0.08481571082965704;0.1745289322464252;0.06657473800330943;0.06531959135702016;0.12317587661664017;0.17786963003116954;0.10885964912280703;0.04372461988856361;0.07991864569001617;0.1017799193627692
Muribaculum;0.1487832645510175;0.03975678203928905;0.07534473248758963;0.07535485037519211;0.04467805519053877;0.021954194335275786;0.08982456140350878;0.03017282085182737;0.023748280193814683;0.04248205329924279
Clostridia_UCG-014;0.0675964138323609;0.03487905920085527;0.06514065085493657;0.13868547147635837;0.07344906286741823;0.09737091746849166;0.10074561403508774;0.05312116347152705;0.03672907818388467;0.07808044055462679
Faecalibaculum;0.04859826383947631;0.04269677936656421;0.04644236072807501;0.0;0.06936855937478388;0.05454668654289199;0.049166666666666664;0.11053923883275096;0.010408566130286536;0.14937555315173565
Bacteroides;0.06211754660594849;0.03053588133101697;0.023000551571980145;0.05157761504384775;0.003458053807317242;0.06423634638839952;0.07407894736842106;0.04693549910284257;0.061972842017108336;0.08378404956239552
Butyricimonas;0.031023196243062476;0.04844313777896565;0.045725317153888584;0.05984992315342193;0.054498928003319735;0.06864073722726657;0.04890350877192983;0.023326093115497215;0.053897230364299824;0.10610679516176615
Lactobacillus;0.04817133912053508;0.02619270346117867;0.05019305019305019;0.0543802549498237;0.06514973372985684;0.022428513348692235;0.047324561403508776;0.028756256492586646;0.0668780283543698;0.0
Alistipes;0.023053934822826243;0.0;0.03270821842250414;0.018804809691709612;0.0;0.04614446401951485;0.035175438596491235;0.019029181225800357;0.06328886761978825;0.031468187629068736
Lachnospiraceae_UCG-001;0.02191546890564964;0.03414405986903648;0.04627688913403199;0.02540457463158846;0.02178573898609863;0.03808104079143516;0.042675438596491234;0.04136367928982907;0.03888257462463361;0.046415576752876386
Lachnoclostridium;0.05407713106588872;0.055659494855004675;0.012961941533370104;0.07436036524726516;0.09039352652327272;0.036048245019650364;0.016271929824561403;0.07030881103031449;0.03858347789675182;0.0294030878159111
Lachnospiraceae_NK4A136_group;0.030738579763768325;0.01563544033141788;0.031991174848317705;0.02124581864207576;0.018466007331074074;0.025816506301666892;0.044166666666666674;0.019973557465294174;0.048453669916851114;0.018684236404759563
Oscillibacter;0.02760779849153266;0.021849525591340367;0.019911748483177054;0.025494982370490915;0.04135832353551421;0.016194606315218865;0.01824561403508772;0.048399282274057986;0.038942393970209974;0.028026354607139342
ASF356;0.02483278781841469;0.02853133769878391;0.016767788196359625;0.025947021065003163;0.03949097447956291;0.010977097167637893;0.013377192982456142;0.021673434696383036;0.03325955614045583;0.026747959484708424
Eubacterium_siraeum_group;0.0;0.042897233729787515;0.02013237727523442;0.01934725612512431;0.0248288263365378;0.025138907711071964;0.013333333333333334;0.018840305977901595;0.004486450918226955;0.05074245255187333
Lachnospiraceae_UCG-006;0.01892699587306105;0.02084725377522384;0.021511307225592937;0.021155410903173313;0.016460336122830075;0.008876541536793604;0.006754385964912281;0.03484748323732175;0.025064305796494588;0.01396400826039925
Incertae_Sedis;0.01216735448982496;0.012494988640919415;0.021897407611693325;0.03132628152969894;0.015284597828342211;0.03476080769751999;0.01324561403508772;0.008216073283596186;0.017287790871567867;0.020159307699872158
uncultured;0.011740429770883734;0.025524522250434317;0.028019856591285162;0.013561160835367507;0.012863960163220141;0.010028459140804987;0.013771929824561406;0.01251298517329304;0.015253933121971647;0.016914150850624445
A2;0.01679237227835492;0.013497260457035946;0.045339216767788196;0.01080372479884278;0.034649699149318765;0.0;0.010833333333333334;0.031069978279346492;0.0;0.021241026649621395
Clostridium_sensu_stricto_1;0.006475024903941938;0.0141654416677803;0.0;0.0;0.0;0.026426345033202334;0.03342105263157895;0.014779488148078194;0.001794580367290782;0.0
Ruminococcus;0.020207770029884733;0.0185086195376186;0.021290678433535572;0.02382243920079559;0.021232450376927867;0.00860550210055563;0.0;0.026206440645953347;0.0;0.0
uncultured;0.03479436459370998;0.010757717492984096;0.010700496414782129;0.013967995660428533;0.016944463655854485;0.01592356687898089;0.011140350877192983;0.028000755500991598;0.011664772387390084;0.011702232274559935
Clostridia_vadinBB60_group;0.007755799060765619;0.004944540959508218;0.030557087699944842;0.011843413796220956;0.012725638010927453;0.0;0.04447368421052632;0.0020776277268863916;0.018304719746365977;0.009342118202379781
UCG-009;0.014871211043119397;0.015969530936790054;0.010590182018753447;0.006735376548232528;0.017981879798049657;0.011586935899173331;0.006798245614035088;0.017565398054584947;0.013878088173715383;0.007178680302881306
Gastranaerophilales;0.01259427920876619;0.0036749966590939463;0.022448979591836733;0.015504927221770184;0.005532886091707588;0.016194606315218865;0.026754385964912284;0.010293701010482577;0.004725728300532393;0.008063723079948864
Ruminococcaceae;0.01095773445282482;0.00968862755579313;0.02333149476006619;0.020115721905795136;0.0;0.0;0.0;0.00859382377939371;0.016390500687922478;0.00953879437506146
Butyricicoccus;0.012096200370001423;0.011359080582654016;0.0059018201875344735;0.014872073049453031;0.012241510477903039;0.0071147852012467825;0.0;0.01737652280668618;0.011126398277202848;0.007375356475562985
UCG-010;0.012451970969119113;0.015234531604971268;0.006508549365692223;0.009176385498598678;0.025658759250293938;0.009689659845507523;0.005087719298245614;0.006327320804608556;0.01986002273135132;0.004720228144360311
Mucispirillum;0.0;0.0347454229587064;0.0;0.022827954072868636;0.0;0.0;0.018464912280701757;0.019359712909623194;0.03804510378656458;0.02527288818959583
UBA1819;0.0035577059911768892;0.012628624883068287;0.0;0.013922791790977307;0.007884362680683312;0.0;0.0;0.010907545566153556;0.0036489800801579233;0.00501524240338283
Eubacterium_coprostanoligenes_group;0.004340401309235805;0.0;0.0009928295642581356;0.011029744146098907;0.004357147797219726;0.012129014771649276;0.0011842105263157896;0.0020304089149117007;0.0;0.007080342216540466
Enterorhabdus;0.006688487263412552;0.012962715488440463;0.005129619415333701;0.004475183075671278;0.011688221868732277;0.0079279035099607;0.0009210526315789476;0.003635848522051185;0.0;0.008555413511653063
Anaeroplasma;0.0212750818272378;0.002806361085126286;0.03524544953116381;0.010216074495976855;0.0;0.04729638162352623;0.021885964912280703;0.0;0.01298079799006999;0.003933523453633592
Lachnospiraceae_FCS020_group;0.003913476590294578;0.009822263797942;0.052454495311638163;0.008859958412440106;0.0;0.0079279035099607;0.008640350877192983;0.008074416847672112;0.00400789615361608;0.0
Candidatus_Arthromitus;0.015938522840472466;0.012227716156621675;0.006894649751792609;0.009492812584757255;0.012656476934781107;0.0023038352080227676;0.0;0.0007555009915950515;0.003708799425734283;0.0
Colidextribacter;0.0;0.0;0.013678985107556536;0.0;0.01756691334117159;0.0011519176040113838;0.0;0.0;0.014416462283902615;0.0
Marvinbryantia;0.0;0.0;0.0;0.002576620558719826;0.0;0.0;0.0;0.0;0.0;0.0
Acetatifactor;0.0;0.008619537618602164;0.0075565361279647;0.005514872073049453;0.012241510477903039;0.003252473234855672;0.0;0.004769100009443763;0.012801339953340913;0.0
uncultured;0.009819268535648214;0.0;0.0;0.005469668203598228;0.0;0.0;0.0;0.004721881197469072;0.0;0.0
Intestinimonas;0.0;0.0;0.007335907335907336;0.005876503028659253;0.007676879452244278;0.006369426751592358;0.0;0.00524128812919067;0.004306992881497877;0.0
Lachnospiraceae_NK4B4_group;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.007602228727925206;0.005503379793025065;0.0
Eubacterium_xylanophilum_group;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004725728300532393;0.0
NK4A214_group;0.0;0.0;0.0;0.005017629509085977;0.0;0.0;0.0;0.0019359712909623196;0.0;0.0
UC5-1-2E3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Tuzzerella;0.0;0.006681812107443537;0.006894649751792609;0.0;0.0;0.0;0.004824561403508772;0.0;0.0062810312855177365;0.0
Eubacterium_brachy_group;0.0;0.0;0.0031439602868174295;0.0;0.0;0.0;0.002456140350877193;0.0;0.0;0.0
Prevotella;0.0;0.0;0.0;0.001582135430792876;0.0;0.0;0.0;0.0;0.003290064006699767;0.0
Family_XIII_AD3011_group;0.0;0.0;0.0;0.002124581864207576;0.0;0.0;0.0;0.0;0.0;0.0
UCG-005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Christensenellaceae_R-7_group;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Streptococcus;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Staphylococcus;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Tepidibacter;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00264425347058268;0.0;0.0024584521585209952
RF39;0.010815426213177744;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.012095584619923294
Shuttleworthia;0.0;0.02385406922357343;0.0;0.004836814031281078;0.0;0.0;0.0;0.0033053168382283504;0.021475145061913028;0.0
Roseburia;0.0;0.008753173860751036;0.00441257584114727;0.0;0.0;0.0;0.0;0.0;0.0060417539032123;0.0
Tyzzerella;0.0;0.001403180542563143;0.0;0.0;0.0;0.008402222523377152;0.017324561403508774;0.011899140617622062;0.009092540527606628;0.0076703707345855045
Blautia;0.0;0.0;0.0;0.0;0.009060100975171174;0.0;0.0;0.0;0.0;0.0
Lachnospira;0.0;0.0;0.0;0.0;0.0;0.0;0.0026754385964912284;0.0;0.021295687025183946;0.0
Erysipelatoclostridium;0.020848157108296572;0.0;0.0039713182570325425;0.013696772443721182;0.012379832630195728;0.0;0.0;0.005524601001038814;0.0;0.0
Anaerotruncus;0.011669275651060197;0.00795135640785781;0.0;0.011707802187867282;0.014731309219171452;0.0;0.0;0.007460572292001133;0.0;0.0
GCA-900066575;0.015511598121531238;0.0;0.03303916161059018;0.0;0.018673490559513107;0.0;0.0;0.024789876286712628;0.03176407250104684;0.0
Dorea;0.0;0.0;0.0;0.0;0.0;0.014094050684374576;0.0;0.0;0.0;0.0
uncultured;0.0;0.08512628624883067;0.0;0.0;0.0;0.0;0.03688596491228071;0.05009915950514685;0.0;0.0
Turicibacter;0.0;0.0;0.0;0.0;0.0;0.024935628133893484;0.0;0.025687033714231748;0.022731351319016574;0.0
Monoglobus;0.0016365447559413692;0.0;0.0023717595146166576;0.012114637012928305;0.0;0.0;0.0;0.0;0.0;0.0
Negativibacillus;0.008823110858118686;0.0;0.004302261445118588;0.0;0.0094059063559029;0.009554140127388536;0.01030701754385965;0.0;0.0062810312855177365;0.004621890058019471
Eubacterium_nodatum_group;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Lachnospiraceae_UCG-004;0.0;0.0;0.011307225592939877;0.0;0.0;0.0;0.0;0.005524601001038814;0.012801339953340913;0.0
Akkermansia;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
