Group;Control;Control;Control;Control;Control;Chronic+Binge;Chronic+Binge;Chronic+Binge;Chronic+Binge;Chronic+Binge
Muribaculaceae;0.3728671093552996;0.25512057626057;0.2177768394384039;0.13568080759524098;0.23511701108526076;0.14405946676495882;0.09565594715780339;0.08132986132138317;0.1672637602940492;0.09325277694386071
Muribaculum;0.12658653442044213;0.13636078922643283;0.06861606671592949;0.13766374233866124;0.12296428082660465;0.19087111438751686;0.2885588930138373;0.22321807061103377;0.2669706416042433;0.43027619333533473
Clostridia_UCG-014;0.030343784147264016;0.013466958972752897;0.05204264752454344;0.06808075952409567;0.04338305734227454;0.014559528197567265;0.028494286678559376;0.07073215042693637;0.04485181221793142;0.04161663164214951
Faecalibaculum;0.06136000672438429;0.034575634199812084;0.059959885991766076;0.08670832832592237;0.08656083207882855;0.0003071630421427693;0.08008292753483438;0.07539514322049296;0.030056297399153217;0.06567096967877516
Bacteroides;0.1065814911322182;0.00419668023802067;0.04687005172595799;0.07475063093378201;0.008485014369782403;0.0673915714461236;0.05819391543319994;0.05650093865439352;0.06495137951891314;0.048634043830681484
Butyricimonas;0.027654030427838944;0.0;0.0;0.04957336858550656;0.027165731490351723;0.06825162796412335;0.04416373366761487;0.040816326530612256;0.039919973945005356;0.03246022215550886
Lactobacillus;0.0;0.0029439398684622613;0.10250184735564236;0.03112606657853624;0.0332557821267278;0.07507064749969283;0.0558314449640808;0.011082177678192941;0.04903922207230261;0.03219753827679376
Alistipes;0.03362192149281331;0.037832759160663955;0.06734930856117385;0.03857709409926692;0.04700971671000412;0.014129499938567389;0.02343184995901837;0.03342820807848362;0.02219327222816731;0.019401080756529573
Lachnospiraceae_UCG-001;0.0;0.02856248042593173;0.030930011611949755;0.01766614589592597;0.04673600656904339;0.015542449932424127;0.0;0.041664143402167994;0.009677569441213419;0.011145301711197838
Lachnoclostridium;0.0;0.04967115565299092;0.0337802174601499;0.019108280254777073;0.03175037635144383;0.0017201130359995082;0.022081866833807435;0.026645673106037673;0.0;0.0
Lachnospiraceae_NK4A136_group;0.02076153652181222;0.028938302536799246;0.0;0.032628289869006136;0.040919666073628035;0.044845804152844324;0.062002796393616506;0.054805304911282035;0.04531707997952822;0.05445061543080156
Oscillibacter;0.01025468605530806;0.02455371124334482;0.021957141349097434;0.011236630212714819;0.012248528807992338;0.028197567268706227;0.022033653150764186;0.015624053775812998;0.0;0.005178625037526269
ASF356;0.011347398503824492;0.03163169433134983;0.0458144199303283;0.01772623482754477;0.01231695634323252;0.0;0.0;0.0182280627384485;0.0052109989298841485;0.004878414890423296
