Group;Binge;Binge;Binge;Binge;Binge;Control;Control;Control;Control;Control
Muribaculaceae;0.04764851485148515;0.06260421403668334;0.11246457215220407;0.09806040612024344;0.07366792249730894;0.08481571082965704;0.1745289322464252;0.06657473800330943;0.06531959135702016;0.12317587661664017
Muribaculum;0.14005775577557758;0.025087160830680615;0.059337876138213834;0.03145441101188783;0.04292249730893435;0.1487832645510175;0.03975678203928905;0.07534473248758963;0.07535485037519211;0.04467805519053877
Clostridia_UCG-014;0.04806105610561056;0.09731696225557072;0.08689621901947778;0.07269211080143335;0.073735199138859;0.0675964138323609;0.03487905920085527;0.06514065085493657;0.13868547147635837;0.07344906286741823
Faecalibaculum;0.1630569306930693;0.0;0.029729240788759572;0.0;0.0;0.04859826383947631;0.04269677936656421;0.04644236072807501;0.0;0.06936855937478388
Bacteroides;0.01701732673267327;0.0012126724268606943;0.057770005427244774;0.038166202150048345;0.06976587728740581;0.06211754660594849;0.03053588133101697;0.023000551571980145;0.05157761504384775;0.003458053807317242
Butyricimonas;0.05610561056105611;0.0;0.046915515889766626;0.034355269893635174;0.0314854682454252;0.031023196243062476;0.04844313777896565;0.045725317153888584;0.05984992315342193;0.054498928003319735
Lactobacillus;0.15655940594059406;0.07071396089131425;0.03642284267020443;0.027415960411808202;0.12103067814854684;0.04817133912053508;0.02619270346117867;0.05019305019305019;0.0543802549498237;0.06514973372985684
Alistipes;0.024855610561056105;0.032893739578596336;0.04178978471929084;0.009385131676241396;0.04285522066738429;0.023053934822826243;0.0;0.03270821842250414;0.018804809691709612;0.0
Lachnospiraceae_UCG-001;0.020523927392739272;0.02099439139002577;0.04751854308629319;0.028041635856890963;0.0219994617868676;0.02191546890564964;0.03414405986903648;0.04627688913403199;0.02540457463158846;0.02178573898609863
Lachnoclostridium;0.02196782178217822;0.04812793694103381;0.04848338660073569;0.02024913258631477;0.03256189451022605;0.05407713106588872;0.055659494855004675;0.012961941533370104;0.07436036524726516;0.09039352652327272
Lachnospiraceae_NK4A136_group;0.055383663366336634;0.03600121267242686;0.013025387444973767;0.07746999601842898;0.03370559741657697;0.030738579763768325;0.01563544033141788;0.031991174848317705;0.02124581864207576;0.018466007331074074
Oscillibacter;0.03424092409240924;0.08617553433378809;0.05831272990411867;0.08275979750867413;0.03135091496232509;0.02760779849153266;0.021849525591340367;0.019911748483177054;0.025494982370490915;0.04135832353551421
ASF356;0.02330858085808581;0.044641503713809316;0.0319001386962552;0.026278368693475912;0.04420075349838536;0.02483278781841469;0.02853133769878391;0.016767788196359625;0.025947021065003163;0.03949097447956291
Eubacterium_siraeum_group;0.0;0.044489919660451724;0.028161370077790508;0.042489050679711045;0.02213401506996771;0.0;0.042897233729787515;0.02013237727523442;0.01934725612512431;0.0248288263365378
Lachnospiraceae_UCG-006;0.0;0.010004547521600729;0.01567870710969065;0.01848586542289972;0.0;0.01892699587306105;0.02084725377522384;0.021511307225592937;0.021155410903173313;0.016460336122830075
Incertae_Sedis;0.0;0.025162952857359405;0.018693843092323463;0.027529719583641428;0.020452099031216364;0.01216735448982496;0.012494988640919415;0.021897407611693325;0.03132628152969894;0.015284597828342211
uncultured;0.0;0.01455206912232833;0.04227220647651209;0.03338831693305273;0.02307588805166846;0.011740429770883734;0.025524522250434317;0.028019856591285162;0.013561160835367507;0.012863960163220141
A2;0.03290016501650165;0.006972866454448992;0.034854971959235356;0.03401399237813548;0.02717976318622175;0.01679237227835492;0.013497260457035946;0.045339216767788196;0.01080372479884278;0.034649699149318765
Clostridium_sensu_stricto_1;0.0;0.0;0.007598142676234697;0.0;0.001547362755651238;0.006475024903941938;0.0141654416677803;0.0;0.0;0.0
Ruminococcus;0.0;0.010610883735031076;0.0;0.010465843808657073;0.01769375672766416;0.020207770029884733;0.0185086195376186;0.021290678433535572;0.02382243920079559;0.021232450376927867
uncultured;0.009797854785478548;0.014703653175685918;0.014352047277332206;0.03230760480063705;0.0;0.03479436459370998;0.010757717492984096;0.010700496414782129;0.013967995660428533;0.016944463655854485
Clostridia_vadinBB60_group;0.0034034653465346535;0.031756859178414434;0.015135982632816741;0.021557363062396903;0.031014531754574814;0.007755799060765619;0.004944540959508218;0.030557087699944842;0.011843413796220956;0.012725638010927453
UCG-009;0.0;0.0062149461876610575;0.012723873846710487;0.006199874864910983;0.014397201291711518;0.014871211043119397;0.015969530936790054;0.010590182018753447;0.006735376548232528;0.017981879798049657
Gastranaerophilales;0.0;0.015234197362437472;0.017186275101007054;0.013480461862237642;0.010427879440258343;0.01259427920876619;0.0036749966590939463;0.022448979591836733;0.015504927221770184;0.005532886091707588
Ruminococcaceae;0.0;0.018872214643019556;0.0095278297051197;0.01859962459473295;0.02139397201291712;0.01095773445282482;0.00968862755579313;0.02333149476006619;0.020115721905795136;0.0
Butyricicoccus;0.010004125412541254;0.011065635895103836;0.011939938491225955;0.009897047949490928;0.05005382131324004;0.012096200370001423;0.011359080582654016;0.0059018201875344735;0.014872073049453031;0.012241510477903039
UCG-010;0.006497524752475247;0.009322419281491587;0.01296508472532111;0.002957738467663955;0.0034983853606027995;0.012451970969119113;0.015234531604971268;0.006508549365692223;0.009176385498598678;0.025658759250293938
Mucispirillum;0.0;0.047142640594209494;0.01760839413857565;0.014163016893237018;0.0;0.0;0.0347454229587064;0.0;0.022827954072868636;0.0
UBA1819;0.005259900990099009;0.0;0.0015678707109690645;0.002616460952164268;0.010091496232508074;0.0035577059911768892;0.012628624883068287;0.0;0.013922791790977307;0.007884362680683312
Eubacterium_coprostanoligenes_group;0.01021039603960396;0.002652720933757769;0.0016884761502743773;0.0;0.003363832077502691;0.004340401309235805;0.0;0.0009928295642581356;0.011029744146098907;0.004357147797219726
Enterorhabdus;0.013098184818481847;0.0053812338941943315;0.003859374057770006;0.0;0.0032965554359526378;0.006688487263412552;0.012962715488440463;0.005129619415333701;0.004475183075671278;0.011688221868732277
Anaeroplasma;0.012685643564356437;0.003259057147188116;0.0;0.0;0.021864908503767495;0.0212750818272378;0.002806361085126286;0.03524544953116381;0.010216074495976855;0.0
Lachnospiraceae_FCS020_group;0.0;0.007351826587842959;0.006392088283181572;0.014163016893237018;0.0;0.003913476590294578;0.009822263797942;0.052454495311638163;0.008859958412440106;0.0
Candidatus_Arthromitus;0.009179042904290429;0.030923146884947704;0.006693601881444852;0.0038678118423297876;0.01547362755651238;0.015938522840472466;0.012227716156621675;0.006894649751792609;0.009492812584757255;0.012656476934781107
Colidextribacter;0.00010313531353135314;0.0;0.0;0.020476650929981226;0.028458019375672768;0.0;0.0;0.013678985107556536;0.0;0.01756691334117159
Marvinbryantia;0.0;0.0;0.0;0.0;0.006054897739504845;0.0;0.0;0.0;0.002576620558719826;0.0
Acetatifactor;0.0;0.010459299681673489;0.0;0.015812524884818838;0.0;0.0;0.008619537618602164;0.0075565361279647;0.005514872073049453;0.012241510477903039
uncultured;0.0;0.0;0.0;0.0030714976394971842;0.0;0.009819268535648214;0.0;0.0;0.005469668203598228;0.0
Intestinimonas;0.004744224422442244;0.009170835228134;0.0;0.004550366873329162;0.001547362755651238;0.0;0.0;0.007335907335907336;0.005876503028659253;0.007676879452244278
Lachnospiraceae_NK4B4_group;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Eubacterium_xylanophilum_group;0.015676567656765675;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
NK4A214_group;0.0;0.0;0.0020502924681903155;0.0;0.0;0.0;0.0;0.0;0.005017629509085977;0.0
UC5-1-2E3;0.0;0.0074276186145217525;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Tuzzerella;0.0;0.004926481734121571;0.0;0.01154655594107275;0.009822389666307859;0.0;0.006681812107443537;0.006894649751792609;0.0;0.0
Eubacterium_brachy_group;0.0;0.0;0.0021105951878429715;0.0;0.0;0.0;0.0;0.0031439602868174295;0.0;0.0
Prevotella;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001582135430792876;0.0
Family_XIII_AD3011_group;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.002124581864207576;0.0
UCG-005;0.002784653465346535;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Christensenellaceae_R-7_group;0.0;0.0012884644535394877;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Streptococcus;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Staphylococcus;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Tepidibacter;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RF39;0.0;0.0;0.011759030332267986;0.02314999146806211;0.0;0.010815426213177744;0.0;0.0;0.0;0.0
Shuttleworthia;0.0;0.0;0.004824217572212507;0.0;0.014464477933261574;0.0;0.02385406922357343;0.0;0.004836814031281078;0.0
Roseburia;0.0;0.03547066848567531;0.0;0.004834764802912235;0.0;0.0;0.008753173860751036;0.00441257584114727;0.0;0.0
Tyzzerella;0.0;0.0;0.0;0.0;0.006929494079655544;0.0;0.001403180542563143;0.0;0.0;0.0
Blautia;0.0;0.02766408973775959;0.011638424892962672;0.010238325464990613;0.0;0.0;0.0;0.0;0.0;0.009060100975171174
Lachnospira;0.002372112211221122;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Erysipelatoclostridium;0.0;0.0;0.0;0.0018770263352482792;0.0;0.020848157108296572;0.0;0.0039713182570325425;0.013696772443721182;0.012379832630195728
Anaerotruncus;0.01382013201320132;0.023571320297104747;0.0;0.008076901200159263;0.004238428417653391;0.011669275651060197;0.00795135640785781;0.0;0.011707802187867282;0.014731309219171452
GCA-900066575;0.0;0.018417462482946796;0.0;0.0;0.0;0.015511598121531238;0.0;0.03303916161059018;0.0;0.018673490559513107
Dorea;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
uncultured;0.038675742574257425;0.009322419281491587;0.0;0.022183038507479665;0.0;0.0;0.08512628624883067;0.0;0.0;0.0
Turicibacter;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Monoglobus;0.0;0.0;0.0;0.0;0.0032292787944025836;0.0016365447559413692;0.0;0.0023717595146166576;0.012114637012928305;0.0
Negativibacillus;0.0;0.010838259815067456;0.005608152927697039;0.014731812752403161;0.009015069967707214;0.008823110858118686;0.0;0.004302261445118588;0.0;0.0094059063559029
Eubacterium_nodatum_group;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Lachnospiraceae_UCG-004;0.0;0.0;0.012542965687752516;0.006939309481826973;0.0;0.0;0.0;0.011307225592939877;0.0;0.0
Akkermansia;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
